center_lab_name,subject,purpose_summary_statements,location,school,faculty,staff_structure,students,notes,sponsors,partners,contact,websites,sheet
· Observatory on Latin America (OLA),International Affairs and Global Perspectives,"Objectives
-Improve academic and public understanding by observing and studying the processes of political and economic change underway in Latin America.
-Foster a public dialogue between and within the United States and Latin America about the challenges of building social democracy in a globalized world, including creating opportunities for Latin American leaders to directly express their views to audiences in the United States.
-Collaborate with Latin American institutions to further these objectives within countries across the Hemisphere by linking and mobilizing ideas and institutions.

OLA has embarked on an ambitious work plan, based on five programs:
-President Néstor Kirchner Fellowship
-Latin America on the Move: The Post-Neoliberal Transition
-Building Latin American Bicentennials in the Age of Globalization
-Design and Developement
-Space in Honour of Abuelas de Plaza de Mayo
","72 Fifth Avenue
5th Floor
New York, NY 1001",,"Directors
-Michael Cohen is Professor of International Affairs, Studley Graduate Program in International Affairs (SGPIA), Milano School of International Affairs, Management, and Urban Policy of The New School
-Margarita Gutman is an Associate Professor of Urban Studies and International Affairs at The New School

Advisory Committee
George Biddle, Member, Board of Governors, The New School for Public Engagement (NSPE)
Michelle DePass, Dean, Milano School of International Affairs, Management, and Urban Policy, The New School for Public Engagement (NSPE)
Darrick Hamilton, Associate Professor of Urban Policy, Milano School of International Affairs, Management, and Urban Poolicy, The New School for Public Engagement (NSPE) 
Gabril Díaz Maggioli, Director, School of Language Learning and Teaching, The New School for Public Engagement (NSPE)
Michelle Materre, Associate Director, School for Undergraduate Studies, The New School for Public Engagement (NSPE)
William Milberg, Professor of Economics, Economics Department, The New School for Social Research
Miodrag Mitrasinovic, Professor, School of Desing Strategies, Parsons The New School for Desing
Mary Watson, Executive Dean, The New School for Public Engagement (NSPE)
Lisa Servon, Professor, Urban Policy, Milano School of International Affairs, Management, and Urban Policy, The New School for Public Engagement (NSPE) 

Fellows
Alberto Minujín, an Argentine Mathematician with postgraduate studies in Applied Statistics and Demography. 
 
Contributing New School Faculty
Louis Bickford
Sakiko Fukuda-Parr, Professor of International Affairs of the Graduate Program in International Affairs of The New School
Barry Herman
Mark Lipton - Professor of Management and Chair of Graduate Management Programs at the Milano School 
Christopher London - Assistant Professor of Practice in the Graduate Program in International Affairs
Peter Lucas
Brian McGrath - Research Chair in Urban Design at the School of Constructed Environments, Parsons The New School for Design
William Morrish - Professor of Urban Ecologies at the School of Design Strategies, Parson The New School for Design
Aida Rodriguez - Professor at the Milano School of Urban Policy and Management
Carlos Teixeira - Associate Professor at the School of Design Strategies, Parsons The New School for Design
Mary R. Watson, Associate Dean for Academic Affairs and Associate Professor of Management at Milano
Tracyann Williams, Director of Academic Advising at The New School for Public Engagement
","Directors
-Michael Cohen is Professor of International Affairs, Studley Graduate Program in International Affairs (SGPIA), Milano School of International Affairs, Management, and Urban Policy of The New School
-Margarita Gutman is an Associate Professor of Urban Studies and International Affairs at The New School

Current Staff
-Maria Carrizosa is the Coordinator of the OLA in New York
-Ileana Versace is the Coordinator of the OLA in Buenos Aires
-Martín Gromez is the Media Coordinator of the OLA in Buenos Aires
-Julia Nesprias is Comunity Manager of the PNK Fellowship, and Program Associate of the OLA in Buenos Aires
-Clara Marina von Loebenstein is Program Associate of the OLA in New York",,, Julien J. Studley Foundation,"Institutional Cooperation - agreements and cooperates with the following institutions:

- Facultad de Arquitectura, Diseño y Urbanismo de la Universidad de Buenos Aires: Programa Bicentenarios and Programa Diseño y Desarrollo Social, Argentina
- Universidad Nacional Autónoma de México (UNAM), Instituto de Investigaciones Históricas, Mexico
- Centro de Estudios del Patrimonio de la Universidad Central, Chile
- Fundación SES, Argentina
- Latin American Council of Social Sciences, CLACSO
- Facultad de Ciencias Sociales de la Universidad de Buenos Aires, Argentina
- Organización Latinoamericana y del Caribe de Centros Históricos (OLACCHI), Ecuador
- Universidad de la República (UdelaR), Uruguay
- Universidad Nacional de Tucumán (UNT), Facultad de Arquitectura y Urbanismo, Argentina
- The Universidad Nacional de Tucumán (National University of Tucumán, UNT) 
- Schwartz Center for Economic Policy Analysis, The New School, United States
- Universidad Nacional de San Martín (UNSAM), Argentina
- Chulalongkorn University, Thailand
- Equidad para la Infancia Latin America
- India China Institute, The New School, United States 
- Facultad Latinoamericana de Ciencias Sociales, FLACSO, Ecuador
- Universidad Nacional de Avellaneda (UNDAV), Argentina
- Autoridad de Cuenca Matanza Riachuelo (ACUMAR), Argentina
- Ministerio de Educación de la Nación, Argentina","212.206.3524 
ola@newschool.ed",http://www.observatorylatinamerica.org/,Centers/Labs
· Re/Lab,Media communications,"Premised on the idea that students of media think and engage more meaningfully when they deeply understand the material history of their subject, Re/Lab encourages media innovation that is critically and historically informed for a sustainable creative future.",,,"Melissa Friedling - Project Co-Coordinator
Assistant Professor, Director of Undergraduate Programs in Media Studies
School of Media Studies // School of Undergraduate Studies
NSPE

Dale Mac Donald - Technical Advisor, Retreat Co-leader, Database Oversight
Director of Creative Technologies, Part-time Lecturer
School of Media Studies
NSPE

Amir Husak
Technical Advisor, Retreat Co-leader
Part-Time Lecturer
School of Media Studies
NSPE

Colin Stearns
Project Co-Coordinator
Assistant Professor, Director of Technical Operations
School of Art Media Technology // Photography
Parsons

Veronica Paredes
Database Coordinator, technical advisor, distributed learning advisor
Part-Time Lecturer, Director of Special Projects
School of Media Studies
NSPE

Shannon Mattern 
Archive advisor and liaison, database oversight, technical advisor, external partnerships
Associate Professor
School of Media Studies
NSPE

Deanna Kamiel 
Project Co-Coordinator
Assistant Professor, Director of Graduate Certificate in Documentary Studies
School of Media Studies
NSPE

Barry Salmon
Research Coordinator, external partnerships, technical advisor (sound)
Associate Professor
School of Media Studies
NSPE","Melissa Friedling - Project Co-Coordinator
Assistant Professor, Director of Undergraduate Programs in Media Studies
School of Media Studies // School of Undergraduate Studies
NSPE

Dale Mac Donald - Technical Advisor, Retreat Co-leader, Database Oversight
Director of Creative Technologies, Part-time Lecturer
School of Media Studies
NSPE

Amir Husak
Technical Advisor, Retreat Co-leader
Part-Time Lecturer
School of Media Studies
NSPE

Colin Stearns
Project Co-Coordinator
Assistant Professor, Director of Technical Operations
School of Art Media Technology // Photography
Parsons

Veronica Paredes
Database Coordinator, technical advisor, distributed learning advisor
Part-Time Lecturer, Director of Special Projects
School of Media Studies
NSPE

Shannon Mattern 
Archive advisor and liaison, database oversight, technical advisor, external partnerships
Associate Professor
School of Media Studies
NSPE

Deanna Kamiel 
Project Co-Coordinator
Assistant Professor, Director of Graduate Certificate in Documentary Studies
School of Media Studies
NSPE

Barry Salmon
Research Coordinator, external partnerships, technical advisor (sound)
Associate Professor
School of Media Studies
NSPE",,,,,,http://smscommons.newschool.edu/relab/,Centers/Labs
· Tishman Environment and Design Center,"Art, Design, and Theory","The Tishman Environment and Design Center at The New School fosters the integration of bold design, policy, and social justice approaches to environmental issues to advance just and sustainable outcomes in collaboration with communities.

The Tishman Center addresses the increasingly urgent need to integrate design and environment to confront climate change and its social impacts.

The Tishman Center is committed to fostering an environmental philosophy and an understanding of sustainability that digs deeper than simply championing the concepts of being ""green"" or ""eco-friendly."" At the Tishman Center and The New School, sustainability is truly cross-disciplinary, incorporating and collaborative space that brings together stakeholders from a variety of disciplines, schools, and populations. It will be a communication bridge between the university's operational sustainability efforts and the university community. We serve as a collaborative resource center and academic convener for environmental justice groups, community leaders, design, and climate experts to create discourse, dialogue, and action on today's most challenging issues.","Tishman Environment and Design Center
79 Fifth Avenue, 16th floor
New York, NY 10003",,"MICHELLE DEPASS, JD.
Dean, Milano School of International Affairs, Management, and Urban Policy 
Tishman Professor of Environmental Policy and Management 

ANA BAPTISTA, PhD
Assistant Professor of Professional Practice, Milano School of International Affairs, Management, and Urban Policy 
Chair, Environmental Policy and Sustainability Management

BRIAN MCGRATH, MArch
Professor of Urban Design, Parsons School of Constructed Environments

TIMO RISSANEN, PhD
Assistant Professor of Fashion Design and Sustainability, Parsons School of Fashion","Michelle DePass, Director 
Ana Baptista, Associate Director 
Brian McGrath, Associate Director 
Timo Rissanen, Associate Director 
Molly Johnson, University Sustainability Associate 
Adrienne Perovich, Manager of Operations and External Affairs

2018 VISITING SCHOLARS
ANNIE DUCMANIS ADAMS
STEVEN KING
BARBARA PACA, O.B.E.
MATHY STANISLAUS","Dominique Roses
Greg Stewart","February 26 – March 2, 2018 #DisruptClimateInjustice
The New School will disrupt regular curriculum across the University in order to learn about climate change and its implications, particularly the unequal and devastating impacts on the most vulnerable and least responsible communities around the globe. This disruption is an opportunity to come together to take concrete action toward fighting climate change and supporting climate justice.

By interrupting “business as usual” across the University, and engaging in a series of service, learning, and action opportunities, we will:
Make visible the climate crisis
Highlight the unequal impacts on vulnerable communities
Reflect on and deepen understanding of the importance of just and equitable solutions
Build coalitions and partnerships

Sustainability Learning Outcomes
Working closely with the leadership and faculty at all five schools at the New School, the Tishman Center is embarking on a multi-year project to incorporate sustainability learning outcomes that account for the social, political, and economic dimensions of environmental issues into the academic experience of all New School students. 

In collaboration with our Affiliated Faculty, the Tishman Center is exploring strategies to uplift existing sustainability-related course offerings, design new methods of engaging students in sustainability learning, and partner with community organizations to provide real-world learning experiences for students. We are developing and delivering opportunities for all students to learn about sustainability in ways that fit and complement their majors and disciplines from jazz to design, liberal arts to social research, and beyond.

",,"AFFILIATED FACULTY
JUDITH ALBERT - Part-time Faculty - Milano
CHARLES ALLISON - Associate Professor - Milano
ANA BAPTISTA - Assistant Professor - Milano
PATRICIA BEIRNE - Part-Time Faculty - Parsons
DAVID BERGMAN - Part-Time Faculty - Parsons
ANDREW BERNHEIMER - Assistant Professor - Parsons
NICHOLAS BRINEN - Part-Time Faculty - Parsons
KATAYOUN CHAMANY - Associate Professor - Eugene Lang
GYUNGJU CHYON - Assistant Professor - Parsons
JOHN CLINTON - Associate Professor - Public Engagement
MICHAEL A. COHEN – Professor - Milano
MICHELLE DEPASS - Dean - Milano
BRITTANY DICKINSON - Part-time Lecturer - Parsons
YANA DIMITROVA - Part-time Lecturer - Parsons
MINDY FULLILOVE - Professor - Milano
JEAN GARDNER - Associate Professor - Parsons
FRANCESCA GRANATA - Assistant Professor - Parsons
BORIS GRINKOT - Part-Time Faculty - Parsons
TITANIA INGLIS - Part-Time Faculty - Parsons
OLIVER KELLHAMMER - Part-Time Faculty - Parsons
DAVID LEVEN - Associate Professor - Parsons
COLLEEN MACKLIN - Associate Professor - Parsons
CECILIA MARTINEZ - Visiting Assistant Professor - Milano
BRIAN MCGRATH - Professor - Parsons
KEVIN MCQUEEN - Part-Time Faculty - Milano
ALISON MEARS – Dean - School of Design Strategies - Parsons
STEPHEN METTS - Part-Time Faculty - Milano
DANIEL MICHALIK - Assistant Professor - Parsons
WILLIAM MORRISH – Professor - Parsons
EMILY MOSS - Assistant Professor - Parsons
HANS OTTO VON BUSCH - Associate Professor of Integrated Design - Parsons
LARA PENIN - Associate Professor - Parsons
WENDY POPP - Part-Time Faculty - Parsons
KRISTIN REYNOLDS - Part-Time Faculty - Public Engagement
TIMO RISSANEN - Assistant Professor - Parsons
BARENT ROTH - Part-Time Faculty - Parsons
JOHN RUDOLPH - Part-Time Faculty - Milano
MEHDI SALEHI - Part-Time Faculty - Parsons
ALISON SCHUETTINGER -Part-Time Faculty - Parsons
HILARY SEMMEL - Part-Time Faculty - Milano
WILLI SEMMLER - Professor - NSSR
ANDREW SMITH - Part-Time Faculty - Public Engagement
KIMBERLY TATE - Part-Time Faculty - Parsons
JOEL TOWERS - Executive Dean - Parsons
BHAWANI VENKATARAMAN - Associate Professor - Eugene Lang
YVONNE WATSON - Associate Professor - Parsons
DAVID WHITE - Part-Time Faculty - Parsons
MIA WHITE - Assistant Professor - Public Engagement
JENIFER WIGHTMAN - Associate Professor - Parsons
MAYA WILEY - Senior Vice President for Social Justice - Milano
RAFI YOUATT - Assistant Professor - NSSR
","tedc@newschool.edu
212.229.5321 x1463",https://tishmancenter.org/,Centers/Labs
Bernard Schwartz Center for Economic Policy Analysis (SCEPA),"Politics, Policy, and Society","SCEPA works to focus the public economics debate on the role government can and should play in the real productive economy - that of business, management, and labor - to raise living standards, create economic security, and attain full employment.","6 East 16th Street
11th Floor
New York, NY 10003-3034",,#NAME?,#NAME?,,"The Schwartz Center for Economic Policy Analysis (SCEPA) is an economic policy research think tank located within the department of economics at The New School for Social Research.

SCEPA works with New School economists and researchers to focus public debate on the role government can and should play in the economy to raise living standards, create economic security, and attain full employment. With a focus on collaboration and outreach, it provides original, standards-based research on key policy issues to empower policymakers and create positive change.",,,212.229.5901 x1,economicpolicyresearch.org,Centers/Labs
Center for Data Arts,"Art, Design, and Theory","The Center for Data Arts is a research lab and creative studio within The New School; we engage data as both subject and medium for artistic expression.
CDA brings the agility and creativity of a working art studio to bear on complex data problems.  We produce large-scale media installations, open-source software, original academic research, and multimodal experiences that make intuitive sense of inscrutable data. 

Working in collaboration with scientists, humanities scholars, policy makers, and artists, CDA’s work expands the boundaries of data representation, pioneering radical new techniques for transforming complex information into meaningful narrative experiences. We bring these topics to a wider audience through public programs, workshops, exhibitions, and our weekly online publication, Data Matters.","79 5th Ave, 16th Floor
New York, New York 10011",Independent,,"Ben Rubin - DIRECTOR
Katie Wanner - OPERATIONS ADMINISTRATOR
Sam Galison - DESIGN LEAD
Dr. Anne Luther -RESEARCH MANAGER, EXPERT IN QUALITATIVE DATA VISUALIZATION
Paul Villoutrieux - Visiting Scholar",,"The Center for Data Arts initiates original research, and undertakes  art and design projects in both the private and public sectors.
We conduct experiments, create software tools, and develop unique context-specific data interfaces. We share knowledge through a quarterly journal, white papers, an annual symposium, public programs, and customized workshops. Our research areas include:
DATA REPRESENTATION - Qualitative Data: how can we use qualitative data to visualize connections, relationships, and dynamics within a given system?Human-Centric, Data-Driven Interface Design: what would a taxonomy of the methods for communicating data look like? Data Realities: how can we make use of VR, AR and other emergent  technologies to experience data in multidimensional space? Multimodal Data Representation: can sound, motion, light, haptic feedback, and physical simulations enhance human experience and understanding of data?
THEORY AND METHODOLOGY - Data Economics: how do we value and price data? Cognition & Learning Science: how do we perceive and learn from data?
Information Aesthetics: How do language and metaphor influence our understanding of complex data? POLICY AND SOCIAL JUSTICE - Data Democratization: how can we make data exploration accessible to everyone through data literacy outreach and education? Responsible Data Practice: how do we approach the ethics of ownership, control, and privacy in an information-saturated world?

Before May 2016, the Center for Data Arts was known as the Parsons Institute for Information Mapping (PIIM).
",,,"Phone: (212) 229-6825
Email: cda@newschool.edu",https://www.data-arts.nyc/,Centers/Labs
Center for New York City Affairs,Urban and Community Development,"Transforming Policy in NYC
The Center for New York City Affairs at The New School is an applied policy research institute that drives innovation in social policy. The Center provides analysis and solutions. We focus on how public policy impacts low-income communities, and we strive for a more just and equitable city.

Research 
The Center’s in-depth, original, and timely studies illuminate injustices and propose workable solutions. Our investigative reports have helped shape good public policy in, for example, reducing the alarming rate of chronic absenteeism in many New York City schools, and in addressing the rising tide of children growing up in homeless shelters. We continue to break new ground in areas ranging from analyzing the persistence of racial and income segregation in public schools to chronicling the progress of juvenile justice reform. Policymakers, journalists, and others rely on the Center’s credible and well-informed work – work that not only makes headlines, but also makes a difference.

Ideas 
We identify practical solutions and fresh ideas to address pressing social and economic issues. Urban Matters is our newest, weekly outlet for ideas and insights from leading thinkers and practitioners. Read our latest posts on issues ranging from juvenile justice reform to Hurricane Sandy’s continuing impact to the racial wealth divide at centernyc.org/urbanmatters.

Action
We engage communities and policymakers and are committed to the debate of vital political and social issues. Through public events and our written work we provide opportunities for dialog. These conversations put leaders on the record, forge connections among groups, and inform ongoing policy change. We provide ‘news you can use’ — including detailed information on each and every public school in the city.","72 Fifth Avenue, 6th Floor
New York, NY 10011",,Nicole Mader | Senior Research Fellow - Part-time Youth and Education Policy Instructor ,"Kristin Morse | Executive Director
Rachael Bongiorno | Managing Editor, Feet in 2 Worlds
Angela Butel | Research Assistant, Data and Public Engagement Specialist
Bruce Cory | Editorial Advisor
Von Diaz | Food Editor, Feet in 2 Worlds
Milan Gary | Research Assistant, Graphic Designer
Jocelyn Gonzales | Senior Producer and Technical Director, Feet in 2 Worlds
Clara Hemphill | Director of Education Policy and Insideschools
Kendra Hurley | Senior Editor
Abigail Kramer | Editor
Nicole Mader | Senior Research Fellow
Joyce McMillan | Visiting Fellow
Kim Nauer | Education Research Director
Anne Noyes Saini | Food Editor, Feet in 2 Worlds
James Parrott, Director of Economic and Fiscal Policies
Melanie Quiroz | Research Assistant, Graphic Designer
Karla Polo | Research Assistant, Graphic Designer
Sajjadur Rahman | Program Director, Institute for Transformative Mentoring
Lydie Raschka | Writer and Reporter, Insideschools.org
John Rudolph | Executive Producer, Feet in 2 Worlds
Rachel Stevens | Social Media Director, Feet in 2 Worlds
She is currently pursuing a master’s in international affairs with a concentration in media and culture at The New School. 
Kamille Vargas | Manager of Operations
Jacqueline Wayans | Contributor, Insideschools.org
Pamela Wheaton | Managing Editor, Insideschools.org
Ben (Cincere) Wilson | Program Assistant, Institute for Transformative Mentoring
Janie Ziye Shen | Research Assistant, Children and Families Project
Laura Zingmond | Senior Editor, Insideschools.org","Milan Gary | Research Assistant, Graphic Designer - MFA in Design and Technology
Rachael Bongiorno | Managing Editor, Feet in 2 Worlds - Master of Media Studies
Angela Butel | Research Assistant, Data and Public Engagement Specialist - Public and Urban Policy 
Nicole Mader | Senior Research Fellow - Ph.D. candidate in Public and Urban Policy
Karla Polo | Research Assistant, Graphic Designer - Master of Design and Technology
Rachel Stevens | Social Media Director, Feet in 2 Worlds - Master of International Affairs 
Janie Ziye Shen | Research Assistant, Children and Families Project - M.A. International Affairs ","OUR LATEST WORK ON ESSENTIAL ISSUES
Justice 
In recent years, we have provided vital analysis to support effective public investment in mental health services for incarcerated teens, the launch of the Close to Home initiative, efforts to raise the age for prosecution as an adult, and broad public engagement on issues of incarceration and racial injustice. In the coming year, we will assess developments in policing, efforts to reform City jails, and a broad array of new programs for justice-involved youth and individuals with mental illnesses. 

Poverty 
The Center focuses on low wages, housing and homelessness, health and mental health concerns, and family violence. For decades, the Center has been a leading voice for improvements in the child welfare and Family Court systems. Building on research on brain development and toxic stress, our recent work addresses the needs of young children and includes an examination of new mental health programs for babies and toddlers, efforts to improve the quality of publicly subsidized child care, and services for young families in homeless shelters. 

Education
Our approach to education combines practical information for parents and cutting-edge policy research. Our Insideschools website provides definitive information to more than 1.8 million parents and educators each year. Recent research projects include a look at opportunities to support integrated schools in changing communities, an in-depth study of chronic absenteeism, a toolkit on implementing community schools, and several reports on gaps in math and science instruction. 

Immigrants & Global Cities 
Feet in 2 Worlds (Fi2W) works with immigrant journalists to produce news stories that express perspectives rarely featured in the mainstream press. Our reports highlight social issues, human interest stories, arts and culture, and politics. Fi2W has trained more than 100 immigrant and ethnic media journalists who work at media outlets including The New York Times, the Associated Press, public radio, and others. Current projects include examining climate change and immigrant communities, the role of Latino voters in the upcoming presidential election, and the role of food in culture and immigrant employment. 

Politics & Elections 
We have a long tradition of covering the day's most important political events at the city, state, and national level. This year, join our Politics and Policy Series, a thought-provoking and stimulating series of events featuring the hands-on experience and intellects of both American and global politics experts in order to dissect the 2016 U.S. presidential elections. Check out previous events at The New School featuring Democratic candidates Hillary Clinton and Martin O'Malley, top political strategists, and campaign organizers. ","Altman Foundation
Booth Ferris Foundation
Capital One Bank
Child Care & Early Education Fund
Child Welfare Fund
Children's Aid Society
The Culinary Trust
David & Katherine Moore Family Foundation
David L. Klein, Jr. Foundation
Deutsche Bank Americas Foundation
Donor's Education Collaborative
Dyson Foundation
The Heckscher Foundation for Children
Ira W. DeCamp Foundation
Institute of International Education, Inc.
J.M. Kaplan Fund
Levin Endowment
Local Initiatives Support Corporation
Moore Family Foundation
The New School/Milano
The New York Community Trust
NYC Taxi & Limousine Commission
Nicholas B. Ottaway Foundation
Other Press, LLC
The Pinkerton Foundation
The Prospect Hill Foundation
Ralph E. Ogden Foundation
Robert Sterling Clark Foundation
Sirus Fund
Sloan Foundation
Stella & Charles Guttman Foundation, Inc.
The Sirus Fund
Tortora Sillcox Family Foundation
Alfred P. Sloan Foundation
United Way of New York City
Viola W. Bernard Foundation
WNYC
Workforce Professional Training Institute
  
",,"Phone 212 229 5400
Fax 212 229 5335
Email centernyc@newschool.edu",http://www.centernyc.org/,Centers/Labs
Center for Public Scholarship,"Politics, Policy, and Society","The Center for Public Scholarship seeks to promote free inquiry and public discussion, bringing the best scholarship in and outside of the academy to bear on the critical and contested issues of our times.","The New School
66 West 12th Street
New York, NY 10011",The New School for Social Research,#NAME?,#NAME?,,#NAME?,,,FB: @CenterforPublicScholarship,,Centers/Labs
Collaboratory,Education,"In 2014 a group of 50 faculty, students and external partners came together to create the Collaboratory, a community of practice to more deliberately examine The New School’s approach to project-based learning and public engagement.   The Collaboratory’s virtual platform is an outgrowth of their work. 

The Collaboratory was developed with funding from the Rockefeller Foundation. It has also benefited from the support of The New School’s Provost Office and the Executive Dean’s Office at the Schools Of Public Engagement.  Strategic advice on web development has also be provided by the Digital Humanities Initiative.  

The New School has a rich history and reputation as a higher education institution committed to supporting the engagement of students and scholars in thinking about and enacting positive social change through public scholarship and engaged learning. These terms are defined below.",,The Schools of Public Engagement (SPE) ,"Michele Kahane, Associate Dean, Educational Innovation and Social Engagement; 
Zachary Rosen, Project Manager, 
Chhavi Jain, Design and Community Web Manager
Justin Sherwood, the Director of Communications and Special Initiatives at SPE","Michele Kahane, Associate Dean, Educational Innovation and Social Engagement; 
Zachary Rosen, Project Manager, 
Chhavi Jain, Design and Community Web Manager
Justin Sherwood, the Director of Communications and Special Initiatives at SPE",,"Public Scholarship
Public scholarship is scholarly or creative activity that joins serious intellectual endeavor with a commitment to public practice and public consequence.   It entails diverse modes of creating and circulating knowledge for and with publics and communities.   

Socially Engaged Learning
Socially engaged learning entails academic experiences that help students become critically engaged citizens dedicated to solving problems and contributing to the public good. Engaged learning is often project based and experiential. It involves students in field-based, professional or community settings, often in partnership with diverse types of organizations. Course projects range from providing design solutions for identified social challenges, to student performances or creative production in community settings, to research projects looking at a range of social phenomena.  ",Rockerfeller Foundation ,"The nature of the organization is a huge partnership between entities
The New School's Provost Office at Schools Of Public Engagement Strategic",,http://www.thenewschoolcollaboratory.org/,Centers/Labs
Designed Realities Lab,"Art, Design, and Theory","The Designed Realities Lab is a research and teaching platform working across The New School that combines design with social thought and the liberal arts in order to develop alternative narratives to technological futures.
The lab is dedicated to sustaining the idea of multiple possibilities and alternative values in the face of an increasingly monolithic worldview of our technological future. It uses design as a catalyst for a form of interdisciplinary imagining that synthesizes social and political thought, world-making, and emerging technology. At its core is the idea that imagination can be a political force within society.

The main focus is on understanding, challenging and offering new examples of how technological narratives can be developed and presented through design and critical thinking in ways that challenge assumptions and inspire further imagining rather than communicating a vision of how things will or should be. It aims to contribute to a public environment where new visions can flourish, imagination thrives, and alternative technological narratives can begin to emerge more organically, bottom-up rather than top-down.

The unit operates on a number of levels: collaborative research projects, commissions, self-initiated projects, and taught studio classes, all disseminated through talks, exhibitions and publications.","Designed Realities Lab Anthony Dunne, Co-Director Fiona Raby, Co-Director Office Address 2 West 13th Street Room L1012A New York, NY 10011",Parsons School of Design ,"ANTHONY DUNNE - Professor of Design and Emerging Technology and a Fellow at the Graduate Institute for Design, Ethnography & Social Thought (GIDEST)
FIONA RABY - Professor of Design and Emerging Technology and a Fellow at the Graduate Institute for Design, Ethnography & Social Thought (GIDEST)","ANTHONY DUNNE - CO-DIRECTOR
FIONA RABY - CO-DIRECTOR","RESEARCH ASSISTANTS
- Corey Chao, MFA Transdisciplinary Design, Parsons School of Design
- Joonas Kyöstilä, MFA Industrial Design, Parsons School of Design
- Isabella Olivo, Global Studies, Eugene Lang College for Liberal Arts
- Liam Wamba, Anthropology, Eugene Lang College for Liberal Arts
- Jack Wilkinson, MFA Transdisciplinary Design, Parsons School of Design
- Yu Ling Wu, Integrated Design and Theatre, Eugene Lang College for Liberal Arts","UtransLab 2: Designed Realities - First Biennale of Experimental Micronations (Fall 2016)
Project Studio 2: Driverless Dreams (Spring 2016)",,,"Designed Realities Lab 
Anthony Dunne, Co-Director 
Fiona Raby, Co-Director

Office Address 
2 West 13th Street 
Room L1012A 
New York, NY 10011

Mailing Address 
School of Design Strategies 
Parsons School of Design 
2 West 13th Street, Room 907 
New York, NY 10011

Email: designedrealities@newschool.edu
Phone: 212.229.8970 Ext. 4337",https://www.newschool.edu/designed-realities-lab/,Centers/Labs
Digital Equity Lab,Urban and Community Development,"Access to infrastructure of all kinds, from roads to telephone lines to the Internet, represents one of the most potent ways in which societies divide and discriminate against segments of their populations. In the 21st century, the lack of broadband access in less-resourced neighborhoods is a powerful example of technology-based exclusion and even redlining – the practice of denying services to segregated areas. 
",,"Milano School of International Affairs, Management, and Urban Policy","Maya Wiley - Senior Vice President for Social Justice at The New School and Henry Cohen Professor at the Milano School of International Affairs, Management, and Urban Policy","Maya Wiley - Senior Vice President for Social Justice at The New School and Henry Cohen Professor at the Milano School of International Affairs, Management, and Urban Policy",,,,,,https://www.newschool.edu/research-and-work/advocate-digital-equality/,Centers/Labs
