event_name,event_date,event_description,where,sponsors_schools,speakers,department_affiliation,faculty,collaboration,contact,notes,centers,themes,topics,event_type,hashtags,sheet,tag1,tag2,tag3,tag4,tag5
Language and Social Justice TALKS ,Semester Long and Reoccurring,"A series of public talks designed to provide a space for open dialogue, and examine the relationship between language, identity, and social justice",,Master of Arts in Teaching English to Speakers of Other Languages (MA TESOL) Program at The New School.,,"Schools of Public Engagement, School of Languages",,"CeCe Cutler, CUNY",,,,,,,,Events,0,0,0,1,0
Imagine: A Student Lead Roundtable on the Title IX,"Fri, Feb. 23, 2018 2-5 PM","A student-lead roundtable discussion addressing the future of Title IX, for undergraduate and graduate New School Students",,,,Gender Studies and Gender and Sexuality Studies ,,,gss@newschool.edu,,,,,,,Events,0,0,1,0,0
"Recovering the Lost origins of Black arts Movements in Greenwich Village, Harlem and San Francisco",43144.77083,The Black Arts Movement inspired the creation of some hundred black theaters and cultural centers ,,Greenwich Village Society for Preservation,,,,"Greenwich Village Preservation, Komozi Woodard from Sarah Lawrence ",www.gvshp.org,,,,,,,Events,1,1,0,1,0
"Skill Building for Social Justice - Shanelle Matthews, Activist in Residence","Feb. 13, Apr. 3, 2018 4:00 - 6:00 PM","This workshop series partners with social justice leaders across New York City to introduce frameworks, methodologies and practices you can implement in your own organization and activism .  ",,,Shanelle Matthews,"TNS Activist in-Residence, Lang CESJ",,,,,,,,,,Events,0,1,1,1,1
"Skill Building for Social Justice - El Puente, a brooklyn human rights organization ","Mar. 5,  4:00 - 6:00 PM","This workshop series partners with social justice leaders across New York City to introduce frameworks, methodologies and practices you can implement in your own organization and activism .  ",,,El Puente Facilitator ,Lang CESJ ,,,,,,,,,,Events,0,1,1,1,1
March for Our Lives,"Mar. 24,  NYC 10AM ",How Many More Have to Die? -- march for gun control in light of recent mass shootings,,student led,,,,,,,,,,,,Events,0,0,0,1,0
Women in Music Collective ,"Feb. 15, 4:00 PM ",Women in Music collective - Join us for our first meeting to discuss and collaborate with musicians and artists in the music industry,,,,Mannes?,,Musicians and artists in the music inddustry?,facebook.com/WIMCollectiveTNS,,,,,,,Events,0,0,1,0,0
Toward Sanctuary Summits,"Feb. 15,  7:00 - 8:30 PM, ",Keynote Conversation - What is the meaning of Sanctuary now? How can we as individuals and institiutions contribute to safe space? What role can the arts play in supporting sanctury?,"The Auditorium, 66 West 12th St.",Vera List Center,"Tom Finkelpearl - Commissioner, NYC Department of Cultural Affairs; Jeanne Van Heeswijk- Artist and Initiator, Philadelphia Assembled, Rotterdam; Michael O'Bryan - Director of Youth and Young Adult Programs, The Village of Arts an Humanities, Philadelphia; Laura Raicovich - Former President and Executive Director, Queens Museum --- Moderators: Alexandra Delano Alonso, Associate Professor and Chair of Global Studies, The New School; Carin Kuoni - Director/Chief Curator, Vera List Center for Art and Politics, The NewSchool",,,,,,,,,,,Events,1,0,0,1,1
Toward Sanctuary Summits,"Feb. 16, 12:30 - 4:30",Communal Lunch & Stewardship Curriculum Workshop - What is the meaning of Sanctuary now? How can we as individuals and institiutions contribute to safe space? What role can the arts play in supporting sanctury?,"The Orozco Room, 66 West 12th St.","Vera List Center, Center for Art and Politics","Tom Finkelpearl - Commissioner, NYC Department of Cultural Affairs; Jeanne Van Heeswijk- Artist and Initiator, Philadelphia Assembled, Rotterdam; Michael O'Bryan - Director of Youth and Young Adult Programs, The Village of Arts an Humanities, Philadelphia; Laura Raicovich - Former President and Executive Director, Queens Museum --- Moderators: Alexandra Delano Alonso, Associate Professor and Chair of Global Studies, The New School; Carin Kuoni - Director/Chief Curator, Vera List Center for Art and Politics, The NewSchool",,,,,,,,,,,Events,1,0,0,0,1
BHM Artist Spotlight,"Feb. 27, 7:00 PM ",Students of Color Weekly is celebrating the Black artists in our community with a gallery!,Social Justice Hub,,,,,,http://bit.ly/blackartistgallery; @soc_weekly; studentsofcolorweekly@gmail.com,,,,,,,Events,0,1,0,1,0
