external_center_name,university_affiliation,est,focus,mission,operational_structure_activities,differentiators,leadership_composition,team_structure,external_board,funding_model,partners_networks,lead,contact,link,sheet
"Advanced Consortium on Cooperation, Conflict, and Complexity",Columbia,2009,"Conflict, Sustainability","to foster sustainable peace through innovation and integration. The consortium was established to act as a coordinating agent to facilitate multidisciplinary collaboration between existing institutes, centers, scholars, and practitioners at Columbia University. The primary objective of AC4 is to bring together people and institutions from a variety of disciplines to tackle complex problems with increasingly integrated understandings, methodologies, and solutions.","Research, Project Implementation",*applies science to solve global problems,"Director: Joshua Fischer
AD: Azin Aliabadi","3 executive Directors, a director, associate director, program managers and coordinators, and research associates/interns for support","Executive Committee
CoExecutive Director: Peter Coleman
CoExecutive Director: Beth Fisher-Yoshida
ED Women, Peace: Leymah Gbowee",N/A,"MD-ICCCR, International Center on Cooperation & Conflict Resolution; Columbia Somos Todos; Scensei; Moebio Labs; Shift N; University of Alabama at Birmingham; Queens College, City University of New York",Peter T. Coleman,pc84@columbia.edu,http://ac4.ei.columbia.edu/,External
Arthur Levitt Public Affairs Center,Hamilton College,N/A,Research,The mission of the Arthur Levitt Public Affairs Center is to strengthen and support the study of public affairs at Hamilton College.,"Research, Education","*foster creative, ethical, and informed responses, enable students to engage in public affairs, support interdisciplinary collaboration and discussion","Director and Professor of Philosophy: Marianne Janack 
Associate Director: Christina Willemsen   
Leadership Programs Coordinator: Sharon Topi    
Community Based Learning Coordinator: Joel Winkelman  
Community Service Intern: KT Glusac",N/A,Staff and Levitt Council,N/A,N/A,Marianne Janack,"Levitt Center
Kirner-Johnson 251
198 College Hill Road
Clinton, NY 13323
315-859-4451
levitt@hamilton.edu",https://www.hamilton.edu/academics/centers/levitt/social-innovation,External
BABSON SOCIAL INNOVATION LAB,Babson College,2010,Social Innovation,To activate entrepreneurial leaders and thinkers in global health.,Babson's Uncommon Table Methodology,bringing together diversity,"Executive Director: Cheryl Yaffe Kiser 
Associate Director: Emily Weiner   
Director: Rachel Greenberger  ","Communications Manager: Leah Hurley  

Youth Entrepreneurial Leadership Programs: Janai Mungalsingh, Erika Buckley, Katie Rosario, Joseph McNamara  Schlesinger 

Fund for Global Healthcare Entrepreneurship​: Wiljeana Glover and Rebecca Obounou 

Office Administrator: Jennifer Macdonald  

Graduate Assistants: Alex Corindia, Srikanth Katikala, Colleen Leung  

Undergraduate Scholars: Mathivadhani Harikrishnan and Allyson Kummins","Cheryl Yaffe Kiser, Emily Weiner, Rachel Greenberger",N/A,"Ashoka, CGI U: Clinton Global Initiative University, The Global Institute for Experienced Entrepreneurship, IO Sustainability​, Millennium Campus Network, Net Impact, The School of Visual Arts, StartingBloc, The Wildhearts Foundation
",Cheryl Yaffe Kiser,"
231 Forest Street Babson Park, Massachusetts 02457-0310   781-235-1200",http://www.babson.edu/Academics/centers/the-lewis-institute/lab/Pages/home.aspx,External
Beeck Center,Georgetown University,2014,#NAME?,"The Beeck Center conducts academic research, hold convenings and provide trainings, classes and experiential labs for current and emerging leaders. ","Research, Education","*research, workshops, convenings, and classes","1 Exec. Dir
1 Depty Dir
1 Faculty Director","Sonal Shah Executive Director
Marta Urquilla Deputy Director  
Molly Kinder Director
Wilnie Petrash Business Manager  
Matt Fortier Project Manager GU Impacts  
Austin Seaborn Special Assistant to the Executive Director 
Lara Fishbane Research Assistant  
Cara LaPointe Senior Fellow  
Jun Han Research Fellow  
Christopher Wilson Visiting Research Fellow  
Daniel Marshall Digital Communications Analyst  
Eric Chen Research Analyst  
Clara Cecil Research Analyst 
 L. Felice Gorordo Senior Fellow 
Sheila Herrling Senior Fellow  
Frank DiGiammarino Senior Fellow 
Ingrid Glitz Research Analyst 
Caroline Schauder Research Analyst  
Ben Simmons-Telep Research Analyst  
Madison Suh Research Analyst  
Itay Weiss Research Analyst  
Ali Shahbaz Research Analyst  
Kanchana Sthanumurthy Research Analyst  
Jeremiah Azurin Research Analyst  
Regina Titi-Ofei Research Analyst  
Lorelei Kelly Senior Fellow  
Adam Neufeld Senior Fellow, Technology Policy  
Hollie Russon-Gilman Civic Engagement Fellow ","Alberto Beeck
Olga Maria Beeck
Jean Case
Bart Moore
Carl Muñana
Peter A. Reiling
Shamina Singh
Rev. Ronald Anton, S.J.
Salim Ismail
",N/A,"The Case Foundation, Ford Foundation, Laura and John Arnold Foundation, MacArthur Foundation, The William and Flora Hewlett Foundation, Master Card, Lois & Richard England Foundation, and Northeast Infrasructure, LLC","Sonal Shah
Executive Director, ",beeckcenter@georgetown.edu,http://beeckcenter.georgetown.edu/,External
CALIFORNIA INSTITUTE FOR INNOVATION AND DEVELOPMENT (CIID),Rady School of Management - University of California San Diego,N/A,founded to support and catalyze the University of California’s innovation leadership and entrepreneurship initiatives.,N/A,"fellows work with businesses, startups and venture firms throughout San Diego. They bring the knowledge they've gained through their classwork and put it to work to develop business plans, marketing plans, facilitate the due dilligence process, and other activities that contribute to the growth of the company:

StartR
mystartupXX
Rady Innovation Fellows
Idea Connect
Veteran Ventures

The StartR and mystartupXX accelerator programs, Triton Innovation Challenge, Rady Innovation Fellows, Rady Venture Fund and Idea Connect provide students with the opportunity to explore the many sides of innovation and entrepreneurship.","The signature course series of the MBA program is the capstone Lab to Market program, teaching students to evaluate the marketability of ideas, to transform ideas into scalable products or services, and to build and evaluate business models. ","Vish Krishnan, Ph.D.
Faculty Director


Lada Rasochova, Ph.D., MBA
Executive Director


Kimberly Davis King, MBA
Co-Director, StartR and mystartupXX

Karen Jensen
Program Manager


Steve Poizner
Entrepreneur-in-Residence


Gioia Messinger
Entrepreneur-in-Residence

Tina Klein, Ph.D.
Executive Director, Launchpad
","1 Faculty Director
1 Exec. Director
1 Co-Director
1 Program Manager
1 Actvist in Residence
1 Entrepreneur in Residence
1 Partnered Exec. Director
3 Faculty Affiliates",N/A,"The Rady Venture Fund, supported through the philanthropy of alumni and local business leaders, provides funding to a couple of startups each year. ",N/A,"Vish Krishnan, Ph.D.
Faculty Director


Lada Rasochova, Ph.D., MBA
Executive Director
","For more information, please email CIID program manager Karen Jensen at khjensen@ucsd.edu.",http://rady.ucsd.edu/centers/social-innovation/,External
Center for Business in Society the Social Entrepreneurship and Social Innovation ,University of Navarra,N/A,Research ,"To develope, inspire, and teach leadersabput business and society. ","Education, Research ",*interdiscipliary research ,Eric Weber-Associate Dean Jaime Alonso-Secretary General Jaume Vidal-General Administratior Marta Castan-Director of People Division ,N/A,"US Advisory Council International, Advisory Board, Alumni Committee",N/A,N/A,Franz Heukamp,,http://www.iese.edu/en/faculty-research/research-centers/cbs/social-entrepreneurship-social-innovation/,External
Center for Educational Leadership and Social Justice,Duquesne University,2009,The primary focus of the Center is to investigate the relationship between educational leadership and social justice.,"The mission is advance equity and excellence on behalf of young people, especially those who have been marginalized, mistreated, and neglected.","*dentify and develop educational and community leaders, pursue and promulgate research dedicated to testing and identifying bet educational practices that will enable all young people to learn as much and as well as possible, and establish and maintain a dialogue among educational practitioners, community leaders, and university scholars",*professional development research for educators ,N/A,N/A,Advisory Board (27 members),N/A,N/A,Gretchen Givens,Director Dr. Gretchen Givens Generett   103B Canevin Hall Tel: 412-396-1890  generettg@duq.edu,http://www.duq.edu/academics/schools/education/ucea-center-for-educational-leadership-and-social-justice,External
Center for Entrepreneurship,Insead,2003,"Entrepreneurship, business",ccelerate the entrepreneurial ambitions of INSEAD students and alumni and turn INSEAD into a catalyst for entrepreneurship initiatives. ,"Education, Venture Development",,"Executive Director: Nancy Hsiech
Academic Director: Philip Anderson","ED, AD, supported by coordinator and manager","Advisory Board, 7 members",N/A,N/A,,entrepreneurship@insead.edu,https://centres.insead.edu/entrepreneurship/contact/,External
Center for Innovation in Global Health,Stanford,N/A,"global health, education",CIGH strives to enable collaborative programs in global health by reaching across boundaries to inspire a new generation of global health leaders. ,"Education, Health impact","*Johnson and Johnson global health fellows - corporate partner
*Services for low resource communities","Director: Michelle Barry
Deputy Director: Katherine Burke
Director of Research: Steve Luby
Director Global Oncology: Ami Bhatt
Director Global Surgery: Sherry Wren","Director, Deputy Director, with 5 specialty directors supporting and professors as support. Admins and coordinators offer additional support. ",N/A,N/A,"Johnson & Johnson, University of Zimbabwe",Michelle Barry,acliao@stanford.edu,https://globalhealth.stanford.edu/,External
Center for Institutional and Social Change,Columbia Law School ,2007,"a pilot collaboration with the NAACP Legal Defense and Educational Fund (LDF), the overarching goal of the Center is to develop new frameworks, strategies, roles, and institutions for effective institutional and social change directed at addressing structural inequality and achieving inclusive institutions","a facilitator of innovation and collaboration for scholars, practitioners, and students striving to address structural inequality through institutional transformation",#NAME?,*legal programs to address policy issues ,"- SUSAN STURM | DIRECTOR
- TAMMY ARNSTEIN | DEPUTY DIRECTOR
- CAROLINE GOLUB | ASSISTANT DIRECTOR","- RICHARD GRAY | CENTER FELLOW
- MOUHAMED KABA | RESEARCH & POLICY ASSOC.",#NAME?,N/A,"Annegerg Institute for School Reform
Ascend the Aspen Institute
C3 Creating Connection Consortium
College and Communty Fellowship
Future Now
Hostos Community College
Imagine American
The Justice Initiative
Just Leadership USA 
New York Reentry Education Network
The Osborne Association",- SUSAN STURM | DIRECTOR,cisc@law.columbia.edu,http://www.law.columbia.edu/institutional-social-change,External
